Class,Chinese,Index,Color,Comment
unknown,未知,0,"127,140,141",除70个类别以外的所有类别
air_conditioner,空调,1,"237,187,153",
apparel,衣物,2,"245,203,167",
bag,包，袋子,3,"229,152,102",手提包，背包，塑料袋etc
basin,脸盆,4,"250,215,160","常见的塑料洗脸,洗脚盆"
basket,篮子,5,"240,178,122",
bathtub,浴缸,6,"220,118,51",
bed,床,7,"249,131,159",
book,书,8,"248,196,113",
box,箱子,9,"235,152,78","纸板箱，旅行箱,塑料收纳箱etc"
cabinet,柜子,10,"211,84,0",
cat,猫,11,"171,235,198",
ceiling,天花板,12,"247,220,111",
chair,椅子,13,"245,176,65",
cleaning_tool,卫生/清洁工具,14,"230,126,34","扫帚,拖把等"
clock,钟,15,"186,74,0",
coffee_table,咖啡桌,16,"169,223,191",沙发前的矮茶桌或者台子
counter,柜台等,17,"130,224,170",
curtain,窗帘,18,"244,208,63",
desk,书桌,19,"243,156,18",
desktop,机箱,20,"202,111,30",台式机的机箱
dining_table,餐桌,21,"162,217,206",比coffee_table高些
dishes,盘子，碗,22,"125,206,160",
dishwasher,洗碗机,23,"88,214,141",
dog,狗,24,"241,196,15",
door,门,25,"214,137,16",关闭的门以及门框都算门；打开的门与门框分开标注
door_frame,门框,26,"163,228,215",
exhaust_hood,抽油烟机,27,"115,198,182",
fan,电风扇,28,"82,190,218",立式，吊式，排气扇
fireplace,壁炉,29,"46,204,113",
floor,地板,30,"212,172,13",
fragile_container,小型容器,31,"174,214,241",水杯，化妆品，沐浴露etc
handrail,栏杆,32,"118,215,196",不包含防盗窗窗外的栏杆
laptop,笔记本电脑,33,"127,179,213",
light,灯,34,"69,179,157",
microwave,微波炉,35,"40,180,99",
mirror,镜子,36,"169,204,227",
monitor,显示器,37,"133,193,233",
oven,烤箱,38,"72,201,176",
painting,画，艺术品,39,"22,160,133",
person,人,40,"34,153,84",
pillow,枕头,41,"210,180,222",包括床上的枕头，沙发的靠垫等
plant,植物,42,"39,174,96",插在花瓶里的植物因把植物标为植物，花瓶标为花瓶
plaything,玩具,43,"93,173,226",
pot,锅,44,"26,188,156",
quilt,被子,45,"19,141,117",当被子平铺在床上时视为床，叠好的则视为被子
refrigerator,冰箱,46,"215,189,226",
rice_cooker,电饭煲,47,"187,143,206",
rug,地毯,48,"84,153,199",
screen_door,玻璃门,49,"203,67,53",
shelf,架子,50,"23,165,137",
shoe,鞋子,51,"245,183,177",包括穿在脚上的鞋子
shower,淋浴器,52,"195,155,211",
sink,洗脸盆,53,"165,105,189",陶瓷材质
sock,袜子,54,"41,128,185",
sofa,沙发,55,"46,134,193",
stairs,楼梯,56,"230,176,170",
step,小台阶,57,"241,148,138",
stool,小板凳,58,"175,122,197",
stove,燃气灶,59,"142,68,173",
swivel_chair,"转椅,电脑椅",60,"36,113,163",
television,电视,61,"217,136,128",
toilet,马桶,62,"236,112,99",
trash_bin,垃圾桶,63,"155,89,182",
vacuum,吸尘器,64,"125,60,152",
vase,花瓶,65,"205,97,85",
wall,墙,66,"253,235,208",
washer,洗衣机,67,"136,78,160",
water_heater,热水器,68,"192,57,43",
window,窗,69,"52,152,219",
wire,电线,70,"169,50,38",电线，usb线etc
